Column1.1,Column1.2
dynaplot,
LS-DYNA keyword deck by,LS-PrePost
X-displacement,
Resultant,Force
Mat/Node,Ids
         1     ,1000
     ,7373
* Minval=     6.7795999348e-04 at time=        ,0.0000000000
* Maxval=     2.3943780518e+02 at time=        ,0.0000000000
    4.0240306854e+00   ,3.7073770165e-01
    4.0440506935e+00   ,3.7243115902e-01
    4.0640707016e+00   ,3.7412464619e-01
    4.0840907097e+00   ,3.7581810355e-01
    4.1041107178e+00   ,3.7751159072e-01
    4.1241307259e+00   ,3.7920507789e-01
    4.1441507339e+00   ,3.8089853525e-01
    4.1641707420e+00   ,3.8259202242e-01
    4.1841907501e+00   ,3.8428547978e-01
    4.2042107582e+00   ,3.8597896695e-01
    4.2242307663e+00   ,3.8767242432e-01
    4.2442507744e+00   ,3.8936591148e-01
    4.2642707825e+00   ,3.9105936885e-01
    4.2842907906e+00   ,3.9275285602e-01
    4.3043107986e+00   ,3.9444631338e-01
    4.3243308067e+00   ,3.9613980055e-01
    4.3443508148e+00   ,3.9783328772e-01
    4.3643708229e+00   ,3.9952674508e-01
    4.3843908310e+00   ,4.0122023225e-01
    4.4044108391e+00   ,4.0291368961e-01
    4.4244308472e+00   ,4.0460717678e-01
    4.4444508553e+00   ,4.0630066395e-01
    4.4644708633e+00   ,4.0799412131e-01
    4.4844908714e+00   ,4.0968757868e-01
    4.5045108795e+00   ,4.1136512160e-01
    4.5245308876e+00   ,4.1298773885e-01
    4.5445508957e+00   ,4.1461032629e-01
    4.5645709038e+00   ,4.1623294353e-01
    4.5845909119e+00   ,4.1785553098e-01
    4.6046109200e+00   ,4.1947814822e-01
    4.6246309280e+00   ,4.2110073566e-01
    4.6446509361e+00   ,4.2272335291e-01
    4.6646709442e+00   ,4.2434594035e-01
    4.6846909523e+00   ,4.2596855760e-01
    4.7047109604e+00   ,4.2759114504e-01
    4.7247309685e+00   ,4.2921376228e-01
    4.7447509766e+00   ,4.3083634973e-01
    4.7647709846e+00   ,4.3245896697e-01
    4.7847909927e+00   ,4.3408155441e-01
    4.8048110008e+00   ,4.3570417166e-01
    4.8248310089e+00   ,4.3732675910e-01
    4.8448510170e+00   ,4.3894937634e-01
    4.8648710251e+00   ,4.4057196379e-01
    4.8848910332e+00   ,4.4219458103e-01
    4.9049110413e+00   ,4.4381716847e-01
    4.9249310493e+00   ,4.4543978572e-01
    4.9449510574e+00   ,4.4706237316e-01
    4.9649710655e+00   ,4.4868499041e-01
    4.9849910736e+00   ,4.5030757785e-01
    5.0050115585e+00   ,4.5192465186e-01
    5.0250310898e+00   ,4.5352539420e-01
    5.0450515747e+00   ,4.5512610674e-01
